ticker,weight
NVDA,0.08289755
AAPL,0.06936409
MSFT,0.05632433
AMZN,0.037661560000000004
GOOGL,0.02998828
AVGO,0.026409859999999997
GOOG,0.02396309
META,0.01882847
MU,0.01583608
TSLA,0.01499557
JPM,0.01424858
LLY,0.013966719999999998
BRK-B,0.01386296
AMD,0.01166807
XOM,0.00973378
JNJ,0.009603519999999999
V,0.00945809
MA,0.00716646
ABBV,0.00684584
INTC,0.00682691
WMT,0.00675362
CSCO,0.00664898
PLTR,0.00640709
COST,0.00622391
BAC,0.00599432
LRCX,0.00598182
AMAT,0.00574789
CAT,0.00564798
CVX,0.00561315
MRK,0.00554497
UNH,0.00538455
GE,0.00536694
KO,0.005175450000000001
NFLX,0.00504522
PG,0.00500212
HD,0.00491191
PANW,0.00465977
GS,0.00460797
PM,0.00445532
RTX,0.00428772
WFC,0.0039021299999999997
ORCL,0.00387193
MS,0.00386506
GEV,0.00384934
TXN,0.0036414600000000004
KLAC,0.00360369
AMGN,0.00354097
TMO,0.00351818
CRWD,0.00348402
C,0.0033957799999999997
IBM,0.00336766
LIN,0.00336716
SNDK,0.0033027
MRVL,0.0031718400000000004
ANET,0.0031165399999999997
VZ,0.00309792
CRM,0.00309432
APH,0.00297999
ABT,0.00291733
PEP,0.0028661999999999997
STX,0.00285042
DIS,0.0027839799999999997
GILD,0.00277372
MCD,0.00277335
ADI,0.00274426
UNP,0.0027415
AXP,0.0026691700000000002
T,0.0026518199999999996
SCHW,0.0026510600000000002
QCOM,0.00260653
NEE,0.0025929000000000004
WELL,0.0025382300000000003
BLK,0.0025296999999999997
BA,0.00248331
ETN,0.00242457
PFE,0.00239564
WDC,0.00238907
COP,0.0023679400000000002
BKNG,0.0023555499999999997
UBER,0.00235069
DE,0.00234723
TJX,0.0022275
NOW,0.00214209
NEM,0.00211814
VRTX,0.00208436
BMY,0.0020505799999999998
DELL,0.00204984
DHR,0.00203769
COF,0.00202314
PLD,0.00201716
SPGI,0.00197994
ISRG,0.00195001
PH,0.0019123399999999998
PGR,0.00190744
SBUX,0.0018334
CB,0.0018302199999999998
GLW,0.0017949200000000002
CVS,0.00177814
ADBE,0.00175245
LOW,0.0017365500000000001
MDT,0.0017323199999999999
ACN,0.00172511
LMT,0.00172305
ADP,0.00170648
MO,0.00169456
FCX,0.0016941999999999999
BNY,0.00166996
SYK,0.00166676
FTNT,0.0016132
HWM,0.00160598
MCK,0.00160582
BX,0.0016001199999999998
EQIX,0.0015939
MPC,0.00159137
VRT,0.00155353
VLO,0.00154307
CME,0.0015262600000000002
TT,0.00150578
SO,0.00150528
PNC,0.0014663399999999998
USB,0.0014524100000000001
GD,0.0014497099999999999
INTU,0.00144623
PSX,0.00144487
CDNS,0.00144068
CSX,0.00143926
CMCSA,0.0014140700000000001
DUK,0.0014123900000000001
MMM,0.0014016799999999998
PWR,0.0013991700000000001
MRSH,0.0013756699999999998
ICE,0.0013704
WMB,0.00136126
CEG,0.0013567000000000002
SNPS,0.00133835
EMR,0.0013276
DASH,0.00131873
JCI,0.0013039700000000002
ELV,0.0013025900000000002
HOOD,0.0013019700000000002
APP,0.0012640899999999998
TMUS,0.00123602
SLB,0.00123596
AMT,0.00121941
MSI,0.00121337
REGN,0.001213
WM,0.00120904
DDOG,0.0012078800000000002
MDLZ,0.00120124
CMI,0.00119008
