ticker,weight
NVDA,0.0732
AAPL,0.0654
MSFT,0.0521
AMZN,0.0407
GOOGL,0.0316
GOOG,0.0294
AVGO,0.0247
META,0.0205
TSLA,0.0200
LLY,0.0160
BRK-B,0.0154
MU,0.0149
JPM,0.0136
WMT,0.0121
AMD,0.0108
V,0.0102
XOM,0.0097
JNJ,0.0094
MA,0.0075
ABBV,0.0067
INTC,0.0067
CSCO,0.0063
BAC,0.0063
PLTR,0.0062
COST,0.0062
ORCL,0.0060
CVX,0.0057
KO,0.0057
LRCX,0.0056
AMAT,0.0056
CAT,0.0054
MRK,0.0053
UNH,0.0051
GE,0.0051
PG,0.0049
MS,0.0048
NFLX,0.0048
HD,0.0048
GS,0.0043
PM,0.0043
PANW,0.0041
RTX,0.0041
DELL,0.0040
WFC,0.0037
GEV,0.0036
AMGN,0.0034
ANET,0.0034
KLAC,0.0034
TXN,0.0034
TMO,0.0033
